270.0:275.0,144989
275.0:280.0,152415
280.0:285.0,247707
285.0:290.0,715673
290.0:295.0,2160174
295.0:300.0,4952330
300.0:305.0,8010224
305.0:310.0,9853652
310.0:315.0,10209007
315.0:320.0,9807768
320.0:325.0,8927870
325.0:330.0,8098345
330.0:335.0,8259934
335.0:340.0,11291160
340.0:345.0,18518608
345.0:350.0,21097982
350.0:355.0,14836512
355.0:360.0,8597103
360.0:365.0,5340403
365.0:370.0,3473251
370.0:375.0,3069050
375.0:380.0,3370083
380.0:385.0,4202235
385.0:390.0,5284891
390.0:395.0,6235407
395.0:400.0,6842954
400.0:405.0,7184464
405.0:410.0,7219811
410.0:415.0,6580061
415.0:420.0,5015398
